origin,colony,dest,origin_dest,time,trt,tank,grate,wkgrate,ylossnorm,hr21,totchl,"survival (1=y,0=dead)",6 bleach/dead score,min,mean,dr90,mmm,dtr,maxdtr,days31,days32,inDHW,nightDHW,CRWDHW,inDHM
HV,HVC,HV,HV_HV,6,heat,7,0.016,0.159,0.586,0.212,6.756,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVC,HV,HV_HV,6,heat,7,0.005,,NA,NA,,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVC,HV,HV_HV,6,cont,8,-0.001,,0.129,0.48,10.134,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVC,MV,HV_MV,6,heat,7,0.02,0.119,0.455,0.304,5.129,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVC,MV,HV_MV,6,cont,8,0.019,,0.044,0.492,8.422,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVD,HV,HV_HV,6,NA,NA,NA,NA,NA,NA,NA,0,NA,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVD,HV,HV_HV,6,heat,9,0.035,0.124,0.579,0.226,12.432,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVD,HV,HV_HV,6,cont,10,0.03,,0.043,0.506,19.345,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVD,MV,HV_MV,6,NA,NA,NA,NA,NA,NA,NA,0,1,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVD,MV,HV_MV,6,heat,9,0.027,,0.582,0.195,8.931,1,1,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVD,MV,HV_MV,6,cont,10,0.018,0.109,0.112,0.469,11.549,1,1,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVE,HV,HV_HV,6,NA,NA,NA,NA,NA,NA,NA,0,NA,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVE,HV,HV_HV,6,heat,9,0.025,,0.397,0.296,5.983,1,1,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVE,HV,HV_HV,6,cont,10,0.019,,-0.083,0.494,7.671,1,1,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVE,MV,HV_MV,6,heat,9,0.008,,0.322,0.366,5.642,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVE,MV,HV_MV,6,cont,10,0.007,0.158,0.018,0.539,8.336,1,1,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
HV,HVK,HV,HV_HV,6,heat,11,0,0.187,0.295,0.393,7.063,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVK,HV,HV_HV,6,cont,12,0.005,,-0.014,0.565,9.118,1,0,28.7,30.45,2.76,34.27,2.48,5.07,88,36,1.07164881,3.3176875,6.034508929,159.4529435
HV,HVK,MV,HV_MV,6,heat,11,0.008,0.228,0.253,0.418,8.619,1,0,28.85,30.53,2.6,33.9,2.25,4.4,114,49,0.679247024,1.194845238,6.078443452,93.74379464
